,Player,G,GS,MP,PER,TS_Perc,eFG_Perc,3PAr,FTr,PProd,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
28,Jaren Jackson Jr.,35,34,764.0,26.9,0.647,0.595,0.414,0.573,347.0,8.8,19.7,15.0,9.3,1.6,14.3,17.4,23.5,2.3,2.2,4.6,0.239,5.1,10.3,15.4
29,Michael Porter Jr.,3,1,53.0,20.0,0.43799999999999994,0.38299999999999995,0.33299999999999996,0.3,27.0,9.4,32.5,21.8,4.6,3.4,2.0,8.0,36.5,0.0,0.1,0.2,0.128,-4.2,-0.8,-5.0
30,Alize Johnson,33,33,1028.0,24.1,0.528,0.48100000000000004,0.365,0.363,517.0,11.4,30.4,21.0,19.3,0.9,1.5,13.6,27.1,2.7,2.0,4.7,0.183,4.0,1.4,5.4
31,Keita Bates-Diop,34,34,1125.0,27.5,0.5770000000000001,0.544,0.35700000000000004,0.27399999999999997,604.0,5.7,24.5,15.6,10.5,1.6,5.9,9.5,29.4,3.6,2.5,6.1,0.21600000000000003,5.1,4.3,9.4
32,Trae Young,32,32,1133.0,28.3,0.585,0.518,0.531,0.44299999999999995,935.0,1.3,10.0,5.8,48.6,2.5,0.7,18.2,37.1,4.6,1.1,5.7,0.201,11.2,0.5,11.7
33,Troy Brown,35,35,1093.0,16.6,0.532,0.494,0.342,0.326,424.0,5.9,18.0,12.0,18.7,2.9,0.8,18.8,21.0,1.5,1.6,3.1,0.114,1.3,2.9,4.3
34,Tony Carr,37,37,1308.0,22.2,0.527,0.48200000000000004,0.33799999999999997,0.307,736.0,3.0,13.4,8.2,29.3,1.4,0.9,11.0,29.9,4.0,1.9,6.0,0.182,5.5,1.1,6.6
35,Vince Edwards,35,35,1106.0,21.8,0.5870000000000001,0.544,0.33899999999999997,0.317,531.0,8.4,18.6,13.9,17.1,1.0,2.0,14.0,23.8,3.4,2.1,5.4,0.19699999999999998,5.6,3.3,8.9
36,Shake Milton,22,22,800.0,24.2,0.606,0.551,0.47100000000000003,0.405,381.0,2.1,13.5,7.7,25.9,2.4,2.3,13.3,25.0,2.8,1.3,4.2,0.20800000000000002,6.4,1.4,7.9
37,Mohamed Bamba,30,29,906.0,28.3,0.593,0.5670000000000001,0.18899999999999997,0.441,377.0,12.2,28.2,20.2,3.6,1.5,13.1,12.3,21.3,2.4,2.4,4.8,0.212,2.4,8.9,11.2
38,Robert Williams,30,23,769.0,25.5,0.614,0.632,0.055,0.318,296.0,10.2,26.8,18.9,10.8,1.8,10.4,17.0,19.0,1.5,2.0,3.5,0.184,2.5,9.4,11.9
39,Zhaire Smith,37,21,1051.0,23.0,0.618,0.588,0.14400000000000002,0.45799999999999996,417.0,9.6,11.1,10.4,12.6,2.3,4.8,10.8,18.3,3.3,2.2,5.6,0.212,5.7,6.4,12.0
40,Kevin Hervey,33,25,1064.0,23.7,0.5529999999999999,0.517,0.41700000000000004,0.257,624.0,8.0,19.9,14.2,15.2,2.1,2.2,12.8,31.0,2.6,2.0,4.6,0.174,3.3,0.7,4.0
41,Melvin Frazier,30,30,1032.0,22.4,0.631,0.61,0.28300000000000003,0.366,442.0,3.9,14.6,9.3,17.9,3.6,2.2,16.9,22.2,2.4,1.6,3.9,0.152,4.2,2.7,6.9
42,Aaron Holiday,33,33,1244.0,21.1,0.609,0.557,0.446,0.41700000000000004,686.0,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,3.7,1.2,4.9,0.157,6.4,-0.1,6.2
43,Thomas Welsh,33,33,1096.0,20.3,0.5770000000000001,0.552,0.335,0.174,414.0,9.1,25.8,17.8,7.8,1.1,2.8,8.6,17.7,2.8,1.7,4.5,0.162,3.5,2.5,6.0
44,Chimezie Metu,34,33,1053.0,23.5,0.574,0.5379999999999999,0.102,0.38799999999999996,497.0,7.2,21.1,14.2,10.0,1.5,6.3,12.8,25.8,2.6,1.8,4.4,0.16699999999999998,1.8,4.3,6.1
45,De'Anthony Melton(2017),36,25,972.0,19.2,0.53,0.483,0.32,0.47200000000000003,351.0,5.9,13.6,9.9,22.5,4.0,3.9,18.5,17.7,1.7,1.5,3.2,0.133,3.0,5.3,8.3
46,Mikal Bridges,40,40,1285.0,26.8,0.655,0.623,0.503,0.282,644.0,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,5.4,2.4,7.7,0.24100000000000002,8.7,4.4,13.2
47,Jalen Brunson,40,40,1272.0,26.1,0.635,0.604,0.40700000000000003,0.313,745.0,1.2,9.7,5.6,26.6,1.7,0.1,10.7,26.4,6.0,1.7,7.7,0.24100000000000002,8.7,0.9,9.6
48,Donte DiVincenzo,40,10,1170.0,20.9,0.608,0.59,0.542,0.27399999999999997,557.0,4.9,13.9,9.6,20.0,2.0,0.7,15.2,22.4,3.7,1.8,5.5,0.188,6.7,2.9,9.6
49,Omari Spellman,40,39,1125.0,20.6,0.588,0.573,0.446,0.20800000000000002,425.0,9.9,23.1,16.8,4.3,1.3,5.5,9.8,18.3,2.9,2.2,5.2,0.184,3.9,4.6,8.5
50,Devon Hall,34,34,1091.0,20.3,0.599,0.552,0.45399999999999996,0.292,392.0,1.4,14.9,8.3,19.6,1.8,0.6,9.6,19.5,3.3,2.6,5.9,0.215,6.0,4.5,10.5
51,Jevon Carter,37,37,1313.0,24.9,0.5489999999999999,0.498,0.385,0.305,686.0,2.4,13.1,7.5,36.2,4.9,1.2,14.4,25.0,4.3,2.8,7.0,0.214,8.1,4.4,12.5
52,Landry Shamet,32,32,1015.0,21.4,0.655,0.622,0.603,0.327,476.0,1.6,9.7,5.8,28.8,1.3,0.7,15.5,20.7,3.8,1.1,4.9,0.195,8.3,-0.1,8.2
