Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Keita Bates-Diop,34,34,1125,27.5,.577,.544,.357,.274,604,5.7,24.5,15.6,10.5,1.6,5.9,9.5,29.4,,3.6,2.5,6.1,.216,,5.1,4.3,9.4
1,Trae Young,32,32,1133,28.3,.585,.518,.531,.443,935,1.3,10.0,5.8,48.6,2.5,0.7,18.2,37.1,,4.6,1.1,5.7,.201,,11.2,0.5,11.7
4,Troy Brown,35,35,1093,16.6,.532,.494,.342,.326,424,5.9,18.0,12.0,18.7,2.9,0.8,18.8,21.0,,1.5,1.6,3.1,.114,,1.3,2.9,4.3
1,Tony Carr,37,37,1308,22.2,.527,.482,.338,.307,736,3.0,13.4,8.2,29.3,1.4,0.9,11.0,29.9,,4.0,1.9,6.0,.182,,5.5,1.1,6.6
3,Vince Edwards,35,35,1106,21.8,.587,.544,.339,.317,531,8.4,18.6,13.9,17.1,1.0,2.0,14.0,23.8,,3.4,2.1,5.4,.197,,5.6,3.3,8.9
1,Shake Milton,22,22,800,24.2,.606,.551,.471,.405,381,2.1,13.5,7.7,25.9,2.4,2.3,13.3,25.0,,2.8,1.3,4.2,.208,,6.4,1.4,7.9
1,Mohamed Bamba,30,29,906,28.3,.593,.567,.189,.441,377,12.2,28.2,20.2,3.6,1.5,13.1,12.3,21.3,,2.4,2.4,4.8,.212,,2.4,8.9,11.2
2,Robert Williams,30,23,769,25.5,.614,.632,.055,.318,296,10.2,26.8,18.9,10.8,1.8,10.4,17.0,19.0,,1.5,2.0,3.5,.184,,2.5,9.4,11.9
2,Zhaire Smith,37,21,1051,23.0,.618,.588,.144,.458,417,9.6,11.1,10.4,12.6,2.3,4.8,10.8,18.3,,3.3,2.2,5.6,.212,,5.7,6.4,12.0
1,Kevin Hervey,33,25,1064,23.7,.553,.517,.417,.257,624,8.0,19.9,14.2,15.2,2.1,2.2,12.8,31.0,,2.6,2.0,4.6,.174,,3.3,0.7,4.0
1,Melvin Frazier,30,30,1032,22.4,.631,.610,.283,.366,442,3.9,14.6,9.3,17.9,3.6,2.2,16.9,22.2,,2.4,1.6,3.9,.152,,4.2,2.7,6.9
1,Aaron Holiday,33,33,1244,21.1,.609,.557,.446,.417,686,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,,3.7,1.2,4.9,.157,,6.4,-0.1,6.2
2,Thomas Welsh,33,33,1096,20.3,.577,.552,.335,.174,414,9.1,25.8,17.8,7.8,1.1,2.8,8.6,17.7,,2.8,1.7,4.5,.162,,3.5,2.5,6.0
2,Chimezie Metu,34,33,1053,23.5,.574,.538,.102,.388,497,7.2,21.1,14.2,10.0,1.5,6.3,12.8,25.8,,2.6,1.8,4.4,.167,,1.8,4.3,6.1
4,De'Anthony Melton(2017),36,25,972,19.2,.530,.483,.320,.472,351,5.9,13.6,9.9,22.5,4.0,3.9,18.5,17.7,,1.7,1.5,3.2,.133,,3.0,5.3,8.3
1,Mikal Bridges,40,40,1285,26.8,.655,.623,.503,.282,644,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,,5.4,2.4,7.7,.241,,8.7,4.4,13.2
2,Jalen Brunson,40,40,1272,26.1,.635,.604,.407,.313,745,1.2,9.7,5.6,26.6,1.7,0.1,10.7,26.4,,6.0,1.7,7.7,.241,,8.7,0.9,9.6
3,Donte DiVincenzo,40,10,1170,20.9,.608,.590,.542,.274,557,4.9,13.9,9.6,20.0,2.0,0.7,15.2,22.4,,3.7,1.8,5.5,.188,,6.7,2.9,9.6
4,Omari Spellman,40,39,1125,20.6,.588,.573,.446,.208,425,9.9,23.1,16.8,4.3,1.3,5.5,9.8,18.3,,2.9,2.2,5.2,.184,,3.9,4.6,8.5
1,Devon Hall,34,34,1091,20.3,.599,.552,.454,.292,392,1.4,14.9,8.3,19.6,1.8,0.6,9.6,19.5,,3.3,2.6,5.9,.215,,6.0,4.5,10.5
1,Jevon Carter,37,37,1313,24.9,.549,.498,.385,.305,686,2.4,13.1,7.5,36.2,4.9,1.2,14.4,25.0,,4.3,2.8,7.0,.214,,8.1,4.4,12.5
1,Landry Shamet,32,32,1015,21.4,.655,.622,.603,.327,476,1.6,9.7,5.8,28.8,1.3,0.7,15.5,20.7,,3.8,1.1,4.9,.195,,8.3,-0.1,8.2
